0.9449081375	concentric
0.9444017464	gelatin
0.9427881101	twins
0.9424372799	imatinib
0.9415098804	multifocal
0.9414523290	bupivacaine
0.9412092268	chloramphenicol
0.9409752758	dextran
0.9409445066	waters
0.9408411250	dobutamine
0.9405207692	splenectomy
0.9401644177	vibration
0.9400782574	homocysteine
0.9398479391	hamsters
0.9397707692	tables
0.9396081375	vasospasm
0.9393211048	analyzer
0.9392598804	mosquitoes
0.9391043357	somatostatin
0.9390341472	metronidazole
0.9389287996	melanin
0.9389063278	campylobacter
0.9387271153	amyloidosis
0.9385897027	isoflurane
0.9383636399	barley
0.9381892866	census
0.9380725067	spray
0.9378658138	pepsin
0.9378653547	rosiglitazone
0.9377707692	acetylcholinesterase
0.9377392866	cytomegalovirus
0.9376543249	swallowing
0.9376329642	fructose
0.9376237337	halothane
0.9375207692	atropine
0.9374098912	autophagy
0.9373818217	glutaraldehyde
0.9373048931	retinoblastoma
0.9372511761	dystonia
0.9372478755	sevoflurane
0.9371404274	brachytherapy
0.9371151632	callus
0.9370711048	glucocorticoids
0.9370470850	docetaxel
0.9369884666	pups
0.9369432389	ampicillin
0.9368787993	tremor
0.9367392866	rapamycin
0.9367156997	choline
0.9365493707	cardiology
0.9364652668	aldosterone
0.9363043357	wood
0.9362323272	enterococci
0.9362136399	methylprednisolone
0.9361369854	magnet
0.9359555519	captopril
0.9359329110	prednisolone
0.9358889511	abstracts
0.9358278399	insomnia
0.9357973763	ovariectomy
0.9357720330	biotin
0.9355720330	osteosarcoma
0.9353914790	classifier
0.9353781755	checklist
0.9353604486	castration
0.9351892866	propofol
0.9350964295	immunocytochemistry
0.9349841472	osteocalcin
0.9348830782	elastin
0.9348653547	misoprostol
0.9347823863	salmon
0.9346367512	urease
0.9346169231	carboplatin
0.9346151957	basin
0.9345533779	azathioprine
0.9345479083	echocardiogram
0.9344215598	kinematic
0.9344155197	amoxicillin
0.9343814750	proteobacteria
0.9343758224	fits
0.9342973911	ticks
0.9342487944	randomization
0.9341043357	intramuscular
0.9341009726	urokinase
0.9340369335	pneumothorax
0.9340033779	ultrafiltration
0.9339197203	neutropenia
0.9339143727	piglets
0.9338960361	ferritin
0.9338304308	transferrin
0.9338304308	diabetics
0.9337707692	erythromycin
