0.9036226116	gelatin
0.8964259797	cyclohexane
0.8961495556	iridium
0.8959340473	paraffin
0.8959071499	polystyrene
0.8948857714	anhydrides
0.8943191048	lactam
0.8939095498	rhodium
0.8934228006	glycine
0.8931849204	toluene
0.8930748846	cyclohexyl
0.8918207767	nylon
0.8917025095	lime
0.8915104476	glycerol
0.8911613173	biphenyl
0.8911555599	tetrahydrofuran
0.8910800098	dihydroxy
0.8907532984	carbamate
0.8905400630	phosphite
0.8902166220	untreated
0.8898061325	aromatics
0.8892890815	dialkyl
0.8890285689	miniaturized
0.8887427883	imidazole
0.8886841053	cadmium
0.8884722060	isocyanates
0.8884524069	distillate
0.8883716817	football
0.8879614909	phenol
0.8872495285	integers
0.8868852692	tungsten
0.8868663639	faucet
0.8867465360	rb
0.8866600910	alkylidene
0.8865104232	mica
0.8864778359	binocular
0.8864524069	paraffins
0.8863418466	gypsum
0.8861390815	piperidine
0.8859284976	fireplace
0.8856692845	phosphonate
0.8856465360	lsi
0.8855260158	rhenium
0.8853365998	heading
0.8853292154	ethoxy
0.8853137065	carbamoyl
0.8852000571	wool
0.8851763333	db
0.8851192504	atomizer
0.8845082777	germanium
0.8843389502	angstroms
0.8843370282	tough
0.8842630188	diluent
0.8842432563	antibiotics
0.8841344363	puzzle
0.8839141209	footwear
0.8839134135	articulating
0.8838500571	hydrogenated
0.8838343570	rpm
0.8838337057	meta
0.8837665360	å
0.8835632016	stain
0.8833591132	elastomers
0.8831056680	prom
0.8830892223	li
0.8828948242	sewage
0.8825012341	isobutane
0.8824512341	cyclopentadiene
0.8821901938	freshly
0.8821056680	lan
0.8818983330	unreacted
0.8816833905	fluoro
0.8816483330	diphenyl
0.8816227492	polyurethanes
0.8816221113	phenoxy
0.8814924168	niobium
0.8811747569	scissors
0.8810378806	centrifuge
0.8810242642	bisulfite
0.8810021081	mg
0.8809601238	asymmetric
0.8809131323	curb
0.8808336268	rna
0.8807066077	pie
0.8806998728	hg
0.8806685899	drapery
0.8806078256	epoxide
0.8805965618	yttrium
0.8804677089	alkylsulfonyl
0.8804549062	headlight
0.8804394897	atcc
0.8803998609	ketone
0.8803965360	eprom
0.8803882913	bilateral
0.8803712736	ba
0.8803489158	hafnium
0.8801997657	biodegradable
0.8801992554	lactams
0.8801941961	hosiery
0.8801770563	fog
0.8801132635	fluidic
0.8800985365	gm
0.8799416212	si
0.8799317081	sn
0.8798115326	cr
0.8795714258	organotin
0.8795342769	tripod
0.8794787568	propane
0.8793111510	insecticides
0.8789546531	oxime
0.8789416422	benzoyl
0.8788703267	bromine
0.8788016493	potato
0.8786314008	broadband
0.8786000571	imino
0.8783840181	gang
0.8783710251	dl
0.8783301305	pyridine
0.8783284605	acyloxy
0.8782392551	sonar
0.8782274874	cb
0.8781725268	polyesters
0.8781648391	tris
0.8780594430	denture
0.8780307561	vanadium
0.8779815613	naphthalene
0.8778588017	al
0.8777859009	sublimation
0.8777470367	asymmetrical
0.8777279218	imine
0.8776828229	ticket
0.8776186997	stair
0.8775872692	lignin
0.8774301181	abs
0.8773297063	ortho
0.8773158938	interferon
0.8772551596	terpene
0.8772525288	tiltable
0.8772456997	fluorides
0.8772071716	defrosting
0.8771767844	airplane
0.8770723857	polyoxyethylene
0.8770537155	hydrogel
0.8770294335	tea
0.8769769062	alanine
0.8768942761	lumber
0.8768317061	stackable
0.8767818008	polyols
0.8767515183	sulfonate
0.8767092408	starch
0.8766850220	vb
0.8766432024	peptides
0.8766088357	radiator
0.8765356884	sram
0.8765223347	alu
0.8764864848	pesticide
0.8763856034	uranium
0.8763518669	airborne
0.8762995549	palladium
0.8762259145	thermoset
0.8761444865	bis
0.8761256297	imidazoles
0.8759836491	lighted
0.8759225556	ge
0.8759104575	ammunition
0.8758852692	ammonia
0.8758064090	reamer
0.8758018491	ram
0.8757570618	nitriles
0.8757373551	camper
0.8757318116	mhz
0.8757286400	accelerometer
0.8755825344	polyphosphate
0.8755673347	na
0.8753844796	chromate
0.8753145160	catv
0.8752835805	planter
0.8752754859	pencil
0.8752572048	benzo
0.8752391458	anion
0.8752325888	atmospheres
0.8752296612	chloro
0.8752048258	colloid
0.8750084771	min
0.8750049573	nitrite
0.8749644887	meat
0.8749553236	hz
0.8749257349	purse
0.8749251634	piperidino
0.8749106449	anhydrous
0.8748823333	sulfonyl
0.8748818907	glare
0.8748649818	pd
0.8746781061	biocompatible
0.8746559339	cw
0.8746465360	rs
0.8746185158	dram
0.8746174307	polyamide
0.8746020129	humidifier
0.8745970089	fat
0.8745892030	highway
0.8745551222	nucleus
0.8744472885	carburetor
0.8744359378	flour
0.8743332090	poultry
0.8743146473	naphtha
0.8742966573	tri
0.8742859910	disinfectant
0.8741963062	pbx
0.8741777249	bitumen
0.8741644798	fo
0.8740501181	sp
